Open Time,Open,Date,Quartile,High,Low,Close,Volume,Close Time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1.6988E+12,0.5995,2023-11-01,Q4,0.6164,0.5802,0.6085,468312081,1.69888E+12,281452760.4,300657,226083979,135895146.7,0
1.69888E+12,0.6084,2023-11-02,Q4,0.6262,0.5865,0.6054,438254076,1.69897E+12,266920463.2,306768,212206244,129299367.6,0
1.69897E+12,0.6053,2023-11-03,Q4,0.615,0.5914,0.6121,329096876,1.69906E+12,198763348.2,241510,165729619,100148620.3,0
1.69906E+12,0.612,2023-11-04,Q4,0.6181,0.6083,0.6149,142897570,1.69914E+12,87555326.77,117676,68066608,41708243.1,0
1.69914E+12,0.6149,2023-11-05,Q4,0.663,0.6137,0.6607,418017252,1.69923E+12,267196689.1,360833,209075361,133739257.4,0
1.69923E+12,0.6606,2023-11-06,Q4,0.7324,0.6584,0.7148,703629362,1.69932E+12,492269742.5,663490,350754766,245377747.6,0
1.69932E+12,0.7147,2023-11-07,Q4,0.7155,0.65,0.685,618276758,1.6994E+12,422309909.8,568111,294568005,201273204.7,0
1.6994E+12,0.6851,2023-11-08,Q4,0.699,0.6725,0.6869,344396095,1.69949E+12,236500124,280135,170072430,116820103.5,0
1.69949E+12,0.6869,2023-11-09,Q4,0.7069,0.63,0.6665,777778139,1.69957E+12,526217501.6,651477,374456359,253600383.7,0
1.69957E+12,0.6667,2023-11-10,Q4,0.6711,0.6359,0.6595,464857348,1.69966E+12,305377391.8,364942,220857551,145064342.9,0
1.69966E+12,0.6594,2023-11-11,Q4,0.69,0.6401,0.6626,380232188,1.69975E+12,253172843.1,341763,185183300,123323827,0
1.69975E+12,0.6626,2023-11-12,Q4,0.6709,0.6458,0.6613,216031217,1.69983E+12,143035347.2,190874,104173060,68974565.62,0
1.69983E+12,0.6612,2023-11-13,Q4,0.75,0.6397,0.6702,749884441,1.69992E+12,508338082.7,879561,378308457,256754054.3,0
1.69992E+12,0.6701,2023-11-14,Q4,0.6724,0.5967,0.6296,597417769,1.70001E+12,385092136,540206,305166494,196789982.2,0
1.70001E+12,0.6296,2023-11-15,Q4,0.6504,0.6251,0.6481,339283800,1.70009E+12,215842881.8,262801,165869476,105572233.9,0
1.70009E+12,0.6482,2023-11-16,Q4,0.653,0.6033,0.6119,440591531,1.70018E+12,278273459.1,322145,220176815,139004160.2,0
1.70018E+12,0.6118,2023-11-17,Q4,0.6244,0.5859,0.6133,368525340,1.70027E+12,224298132.8,260314,190964501,116198896.1,0
1.70027E+12,0.6132,2023-11-18,Q4,0.6144,0.589,0.6106,192040293,1.70035E+12,116218316,128582,90551343,54790637.68,0
1.70035E+12,0.6106,2023-11-19,Q4,0.6286,0.6012,0.6258,240044861,1.70044E+12,147981860.3,151463,116073515,71563829.5,0
1.70044E+12,0.6258,2023-11-20,Q4,0.6282,0.6061,0.6122,298231745,1.70052E+12,184839298.7,199459,152091772,94260529.67,0
1.70052E+12,0.6121,2023-11-21,Q4,0.6178,0.5725,0.5788,468850910,1.70061E+12,282178604.4,330524,231546977,139409026.1,0
1.70061E+12,0.5787,2023-11-22,Q4,0.6162,0.5774,0.6109,346216216,1.7007E+12,206849999.4,211817,179309071,107067135.6,0
1.7007E+12,0.6109,2023-11-23,Q4,0.6238,0.6059,0.6209,305693192,1.70078E+12,187962573.2,215385,146645280,90183567.38,0
1.70078E+12,0.6208,2023-11-24,Q4,0.6258,0.6155,0.6212,303149239,1.70087E+12,188217852.9,191965,155800661,96733654,0
1.70087E+12,0.6212,2023-11-25,Q4,0.6238,0.6157,0.6228,121921267,1.70096E+12,75608640.35,87233,58689967,36398351.5,0
1.70096E+12,0.6228,2023-11-26,Q4,0.6375,0.6064,0.6157,266307412,1.70104E+12,165803435.5,197951,129732251,80789647.76,0
1.70104E+12,0.6157,2023-11-27,Q4,0.6168,0.5937,0.6039,309411406,1.70113E+12,187249018.4,209511,153721976,93031648.43,0
1.70113E+12,0.6039,2023-11-28,Q4,0.6139,0.5957,0.6107,286127938,1.70122E+12,173255085.9,168089,148449420,89890904.07,0
1.70122E+12,0.6106,2023-11-29,Q4,0.617,0.604,0.6091,235341461,1.7013E+12,143645522.8,135873,116082900,70856440.6,0
1.7013E+12,0.609,2023-11-30,Q4,0.6099,0.5982,0.6063,232714430,1.70139E+12,140561709.3,134889,110261513,66597217.99,0
